"Lx" "z" "Lxerr"
0.031098562755102 0.029 0.00170290709183673
0.01437975 0.045 0.00166886045918367
0.00996315459183673 0.051 0.0005849575
0.0438013602040816 0.08 0.00297185112244898
0.0158920306122449 0.081 0.00148346178571429
0.0961703112244898 0.09 0.00624965
0.0252035244897959 0.107 0.0020994037244898
0.299273515306122 0.107 0.019524662755102
0.0493226698979592 0.115 0.0026146837755102
0.0774917653061225 0.117 0.0046864743877551
0.108938030612245 0.1178 0.0075315137755102
0.0313004265306122 0.121 0.00467557285714286
0.0634114897959184 0.122 0.00701416683673469
0.0394361540816327 0.123 0.00150399831632653
0.102497025510204 0.125 0.0124669178571429
0.163175260204082 0.125 0.0120622596938775
0.0300375040816327 0.128 0.00186655469387755
0.0362090030612245 0.128 0.00255547520408163
0.15355437755102 0.135 0.0121845642857143
0.236386551020408 0.135 0.00937698928571429
0.0398067928571429 0.143 0.00416027658163265
0.0556889030612245 0.1463 0.0059555387755102
0.209000056122449 0.1488 0.0167194056122449
0.182587071428571 0.149 0.0167992117346939
0.14139625 0.15 0.0100561989795918
0.0559890510204082 0.155 0.00333524494897959
0.0654359540816327 0.165 0.00807769693877551
0.126214010204082 0.165 0.0129068852040816
0.179494020408163 0.172 0.020310818877551
0.0842136836734694 0.174 0.00642963418367347
0.119273867346939 0.18 0.0100235571428571
0.125647280612245 0.18 0.0129216392857143
0.224890418367347 0.18 0.0137638397959184
0.0885854693877551 0.192 0.0117000071428571
0.113747867346939 0.193 0.012318787755102
0.138198341836735 0.193 0.00916775918367347
0.153654275510204 0.199 0.0197724602040816
0.336363714285714 0.201 0.0261281280612245
0.167780729591837 0.203 0.0069988362244898
0.0933593418367347 0.204 0.00563091581632653
0.168170020408163 0.22 0.0134702760204082
0.122444959183673 0.224 0.00636713775510204
0.127216831632653 0.2246 0.00642997448979592
0.196848479591837 0.226 0.0135081969387755
0.128234795918367 0.23 0.00882189234693878
0.126590484693878 0.232 0.0169756556122449
0.159029397959184 0.2322 0.0166900387755102
0.167083479591837 0.233 0.0177627581632653
0.419762102040816 0.24 0.0311872836734694
0.457350484693878 0.2419 0.0416489132653061
0.642255459183673 0.2427 0.0557890510204082
0.839721530612245 0.245 0.100570285714286
0.121059836734694 0.249 0.00858732857142857
0.123089403061224 0.251 0.00987249948979592
0.15342968877551 0.251 0.0162708443877551
0.244152 0.252 0.0154505586734694
0.30669843877551 0.2529 0.0167426091836735
0.157202193877551 0.253 0.0138863892857143
0.395660301020408 0.256 0.0316488071428571
0.171274658163265 0.261 0.00640957602040816
1.21756382653061 0.288 0.0694484744897959
0.216833219387755 0.289 0.0115234397959184
0.207073729591837 0.29 0.0274406086734694
0.195979454081633 0.2927 0.0133934760204082
0.174826505102041 0.294 0.0219512045918367
1.48448969387755 0.296 0.39448212244898
0.244430755102041 0.2961 0.0133811826530612
0.203827846938776 0.3014 0.0189635821428571
0.232634816326531 0.302 0.0205056
0.188000316326531 0.307 0.00802886275510204
0.411351020408163 0.31 0.0269575153061224
0.414467316326531 0.31 0.0375762923469388
0.442513979591837 0.31 0.0302018908163265
0.28791412755102 0.3152 0.0176787045918367
0.543055102040816 0.3174 0.0336101744897959
0.257593668367347 0.32 0.0347919158163265
0.703872193877551 0.326 0.0731992040816327
0.505888755102041 0.34 0.078710112244898
1.11218290816327 0.34 0.100150525510204
0.433923469387755 0.3461 0.0208488556122449
0.631759132653061 0.347 0.0616815612244898
1.35217107142857 0.3492 0.0714883367346939
0.343358510204082 0.36 0.0258745790816327
0.368484224489796 0.37 0.0568679846938775
0.362690494897959 0.372 0.050252412755102
0.40554212244898 0.3821 0.0551263214285714
0.306217224489796 0.3877 0.0179218489795918
0.909276989795918 0.3967 0.0751428724489796
0.492068387755102 0.41 0.0776101530612245
0.619412551020408 0.414 0.060400693877551
0.658703367346939 0.4294 0.0630502857142857
0.627187244897959 0.4359 0.0363061719387755
0.948190051020408 0.4655 0.07153
1.04994928571429 0.479 0.0792217091836735
0.526547653061225 0.485 0.0275011632653061
0.686031071428571 0.4859 0.0385533306122449
0.733446275510204 0.4876 0.12608937244898
0.584108520408163 0.4954 0.0463806612244898
0.527977755102041 0.497 0.0427718846938776
1.64052954081633 0.4995 0.0813328520408163
2.73031903061224 0.517 0.263517469387755
1.01717729591837 0.524 0.060131862244898
1.96427454081633 0.545 0.243428051020408
0.841489489795918 0.546 0.0936359081632653
1.37117040816327 0.5487 0.144189397959184
1.05675974489796 0.559 0.137001352040816
0.788303469387755 0.5641 0.0803568010204082
0.780629693877551 0.568 0.18325837244898
1.02472765306122 0.574 0.105884948979592
1.85350091836735 0.5778 0.262352147959184
0.926924846938776 0.5921 0.0882241581632653
4.10525020408163 0.612 0.42470537244898
2.11982484693878 0.6241 0.0982974285714286
1.11003433673469 0.679 0.190925903061224
1.48850821428571 0.699 0.287756586734694
1.2923075 0.722 0.182156724489796
1.48178137755102 0.775 0.142906790816327
2.28870602040816 0.796 0.166345418367347
2.05497535714286 0.8317 0.0949206071428571
6.65540051020408 0.8325 0.669466734693878
1.98456954081633 0.872 0.363926030612245
9.27072397959184 0.892 1.57618086734694
2.12033316326531 0.92 0.329435056122449
4.22355989795918 1.028 0.73503387755102
