"Fx"	"z"	"Lx"
4.27549643639569e-13	0.035	1.21351195480756e+42
2.87991729153556e-13	0.035	8.17405443818263e+41
2.78425574588374e-13	0.035	7.90253876511213e+41
3.09602909678669e-13	0.035	8.78744346364133e+41
3.85365422256299e-13	0.035	1.09378069619376e+42
4.0714821397536e-13	0.035	1.15560668190888e+42
3.97759458721475e-13	0.035	1.12895862615478e+42
3.83167655002498e-13	0.035	1.08754278469963e+42
5.68463556991327e-13	0.035	1.61346719040409e+42
4.37025248212965e-13	0.035	1.24040651453859e+42
5.03925362540628e-13	0.035	1.43028876499148e+42
4.93038408942232e-13	0.035	1.39938838058086e+42
5.56987501369846e-13	0.035	1.58089476075088e+42
4.1353938341383e-13	0.035	1.17374670525859e+42
4.472022516996e-13	0.035	1.26929185119803e+42
5.12303674960843e-13	0.035	1.45406888604712e+42
6.01221622477111e-13	0.035	1.7064442392094e+42
5.0543055287953e-13	0.035	1.43456093898973e+42
7.1961479739003e-13	0.035	2.04247897871106e+42
6.26255484571091e-13	0.035	1.77749772125056e+42
7.57783079736145e-13	0.035	2.15081181820823e+42
7.3434979988158e-13	0.035	2.08430126050598e+42
7.49414255027511e-13	0.035	2.12705862607559e+42
8.14329479883466e-13	0.035	2.3113071749485e+42
7.87997827513671e-13	0.035	2.23657018144157e+42
8.3471054743244e-13	0.035	2.36915465416023e+42
1.00966923333227e-12	0.035	2.86573899259988e+42
8.76470276586754e-13	0.035	2.48768107866359e+42
9.38415818283164e-13	0.035	2.66350079109678e+42
9.74221595815998e-13	0.035	2.76512814533194e+42
1.14783828511111e-12	0.035	3.25790350170984e+42
1.12029942574906e-12	0.035	3.17974009880502e+42
1.29924377519843e-12	0.035	3.68763692560049e+42
1.41071748125564e-12	0.035	4.00403217223335e+42
1.91319193674967e-12	0.035	5.43020283521595e+42
1.75477722096875e-12	0.035	4.9805751620851e+42
1.96124652022623e-12	0.035	5.56659591236997e+42
1.97455445128e-12	0.035	5.60436774464196e+42
2.12120316101603e-12	0.035	6.02060002332397e+42
2.32150407518562e-12	0.035	6.58911307793568e+42
2.18281069993573e-12	0.035	6.19546038421424e+42
2.85553870302167e-12	0.035	8.10486081577399e+42
2.93425230203178e-12	0.035	8.32827321904856e+42
3.66000005837539e-12	0.035	1.03881593436179e+43
4.84935007660471e-12	0.035	1.37638853839572e+43
5.44401224450193e-12	0.035	1.54517119569654e+43
1.75517557806222e-11	0.035	4.98170581697489e+43
6.55915492129502e-14	0.045	3.12278608994082e+41
6.75800210486914e-14	0.045	3.21745639828697e+41
7.98290105867934e-14	0.045	3.80062564195325e+41
6.55778435322409e-14	0.045	3.12213356824274e+41
7.01426454641938e-14	0.045	3.33946186963958e+41
7.72330408958553e-14	0.045	3.67703261605214e+41
8.0401505727152e-14	0.045	3.82788189496636e+41
8.37266182950946e-14	0.045	3.98618910678334e+41
7.72434173552715e-14	0.045	3.67752663492373e+41
6.80033425484706e-14	0.045	3.23761055696969e+41
7.42952095130947e-14	0.045	3.53716369868763e+41
7.92756619428426e-14	0.045	3.77428094558684e+41
