z Lx kcorr
0.35 1.41679518289555e+41 0.337
0.35 1.61760479333101e+41 0.337
0.35 1.84687617447975e+41 0.3498
0.35 2.10864335833047e+41 0.3498
0.35 2.4075121408092e+41 0.3593
0.35 2.74874112079945e+41 0.3593
0.35 3.13833422523646e+41 0.3886
0.35 3.58314634825487e+41 0.3886
0.35 4.09100396311194e+41 0.3886
0.35 4.67084282905416e+41 0.4137
0.35 5.33286521608031e+41 0.4137
0.35 6.08871941397313e+41 0.4837
0.35 6.95170468406135e+41 0.4837
0.35 7.93700525984097e+41 0.552
0.35 9.06195751369867e+41 0.552
0.35 1.03463549905376e+42 0.6385
0.35 1.18127966753764e+42 0.6385
0.35 1.34870846226912e+42 0.6385
0.35 1.53986779437934e+42 0.733
0.35 1.75812111401549e+42 0.733
0.35 2.00730859027603e+42 0.7858
0.35 2.29181467902013e+42 0.7858
0.35 2.61664526740747e+42 0.8478
0.35 2.98751575252729e+42 0.8478
0.35 3.41095160386101e+42 0.8478
0.35 3.89440317897556e+42 0.8722
0.35 4.44637681263124e+42 0.8722
0.35 5.07658448581727e+42 0.9012
0.35 5.79611470814359e+42 0.9012
0.35 6.61762762026614e+42 0.9201
0.35 7.55557774917379e+42 0.9201
0.35 8.62646833571973e+42 0.9201
0.35 9.84914170929053e+42 0.9412
0.35 1.12451108187593e+43 0.9412
0.35 1.28389377530122e+43 0.9605
0.35 1.4658665911121e+43 0.9605
0.35 1.67363134261978e+43 0.9813
0.35 1.91084365247335e+43 0.9813
0.35 2.18167727337263e+43 0.9998
0.35 2.49089752528407e+43 0.9998
0.35 2.84394514128792e+43 0.9998
0.35 3.24703199732501e+43 1.02
0.35 3.70725041020933e+43 1.02
0.35 4.23269792700523e+43 1.037
0.35 4.83261980144005e+43 1.037
0.35 5.5175716642256e+43 1.056
0.35 6.2996052494744e+43 1.056
0.35 7.19248044506816e+43 1.056
0.35 8.21190739800786e+43 1.074
0.35 9.37582293458945e+43 1.074
0.35 1.0704706159022e+44 1.091
0.35 1.22219387834487e+44 1.091
0.35 1.39542165293784e+44 1.104
0.35 1.59320188391447e+44 1.104
0.35 1.81901451619634e+44 1.119
0.35 2.0768327250551e+44 1.119
0.35 2.37119282416671e+44 1.119
0.35 2.70727408209078e+44 1.131
0.35 3.09098985154704e+44 1.131
0.35 3.5290916149089e+44 1.144
0.35 4.02928777659586e+44 1.144
0.35 4.60037929251778e+44 1.154
0.35 5.25241452297211e+44 1.154
0.35 5.99686603363297e+44 1.154
0.35 6.84683245544589e+44 1.164
0.35 7.81726895515578e+44 1.164
0.35 8.92525037159882e+44 1.172
0.35 1.0190271647643e+45 1.172
0.35 1.16345908438818e+45 1.182
0.35 1.32836207694079e+45 1.182
0.35 1.51663761204147e+45 1.188
0.35 1.73159839940343e+45 1.188
0.35 1.97702667599047e+45 1.188
0.35 2.25724075451014e+45 1.195
0.35 2.57717100416405e+45 1.195
0.35 2.9424466005379e+45 1.201
0.35 3.35949457099589e+45 1.201
0.35 3.83565287828418e+45 1.209
0.35 4.37929953205086e+45 1.209
0.35 5e+45 1.209
0.4 1e+40 0.1107
0.4 1.14173510247619e+40 0.1196
0.4 1.30355904422631e+40 0.1196
0.4 1.4883191189435e+40 0.1196
0.4 1.69926618178422e+40 0.1354
0.4 1.94011184819373e+40 0.1354
0.4 2.21509379981273e+40 0.1407
0.4 2.52905034652355e+40 0.1407
0.4 2.88750555655553e+40 0.1553
0.4 3.29676645251449e+40 0.1553
0.4 3.76403398350168e+40 0.161
0.4 4.29752972587713e+40 0.161
0.4 4.90664054196878e+40 0.161
0.4 5.60208374199861e+40 0.1878
0.4 6.39609565525095e+40 0.1878
0.4 7.30264692839543e+40 0.2024
0.4 8.33768833913895e+40 0.2024
0.4 9.51943145030131e+40 0.2325
0.4 1.08686690424248e+41 0.2325
0.4 1.24091409629328e+41 0.2325
0.4 1.41679518289555e+41 0.2525
0.4 1.61760479333101e+41 0.2525
0.4 1.84687617447975e+41 0.2782
0.4 2.10864335833047e+41 0.2782
0.4 2.4075121408092e+41 0.2974
0.4 2.74874112079945e+41 0.2974
0.4 3.13833422523646e+41 0.3198
0.4 3.58314634825487e+41 0.3198
0.4 4.09100396311194e+41 0.3198
0.4 4.67084282905416e+41 0.339
0.4 5.33286521608031e+41 0.339
0.4 6.08871941397313e+41 0.3785
0.4 6.95170468406135e+41 0.3785
0.4 7.93700525984097e+41 0.4169
0.4 9.06195751369867e+41 0.4169
0.4 1.03463549905376e+42 0.4169
0.4 1.18127966753764e+42 0.4906
0.4 1.34870846226912e+42 0.4906
0.4 1.53986779437934e+42 0.5711
0.4 1.75812111401549e+42 0.5711
0.4 2.00730859027603e+42 0.6511
0.4 2.29181467902013e+42 0.6511
0.4 2.61664526740747e+42 0.6511
0.4 2.98751575252729e+42 0.7451
0.4 3.41095160386101e+42 0.7451
0.4 3.89440317897556e+42 0.7957
0.4 4.44637681263124e+42 0.7957
0.4 5.07658448581727e+42 0.8557
0.4 5.79611470814359e+42 0.8557
0.4 6.61762762026614e+42 0.885
0.4 7.55557774917379e+42 0.885
0.4 8.62646833571973e+42 0.885
0.4 9.84914170929053e+42 0.9175
0.4 1.12451108187593e+43 0.9175
0.4 1.28389377530122e+43 0.9415
0.4 1.4658665911121e+43 0.9415
0.4 1.67363134261978e+43 0.9672
0.4 1.91084365247335e+43 0.9672
0.4 2.18167727337263e+43 0.9672
0.4 2.49089752528407e+43 0.9891
0.4 2.84394514128792e+43 0.9891
0.4 3.24703199732501e+43 1.013
0.4 3.70725041020933e+43 1.013
0.4 4.23269792700523e+43 1.032
0.4 4.83261980144005e+43 1.032
0.4 5.5175716642256e+43 1.054
0.4 6.2996052494744e+43 1.054
0.4 7.19248044506816e+43 1.054
0.4 8.21190739800786e+43 1.072
0.4 9.37582293458945e+43 1.072
0.4 1.0704706159022e+44 1.091
0.4 1.22219387834487e+44 1.091
0.4 1.39542165293784e+44 1.107
0.4 1.59320188391447e+44 1.107
0.4 1.81901451619634e+44 1.107
0.4 2.0768327250551e+44 1.125
0.4 2.37119282416671e+44 1.125
0.4 2.70727408209078e+44 1.138
0.4 3.09098985154704e+44 1.138
0.4 3.5290916149089e+44 1.154
0.4 4.02928777659586e+44 1.154
0.4 4.60037929251778e+44 1.154
0.4 5.25241452297211e+44 1.165
0.4 5.99686603363297e+44 1.165
0.4 6.84683245544589e+44 1.179
0.4 7.81726895515578e+44 1.179
0.4 8.92525037159882e+44 1.189
0.4 1.0190271647643e+45 1.189
0.4 1.16345908438818e+45 1.2
0.4 1.32836207694079e+45 1.2
0.4 1.51663761204147e+45 1.2
0.4 1.73159839940343e+45 1.207
0.4 1.97702667599047e+45 1.207
0.4 2.25724075451014e+45 1.215
0.4 2.57717100416405e+45 1.215
0.4 2.9424466005379e+45 1.222
0.4 3.35949457099589e+45 1.222
0.4 3.83565287828418e+45 1.222
0.4 4.37929953205086e+45 1.231
0.4 5e+45 1.231
0.45 1e+40 0.08002
0.45 1.14173510247619e+40 0.08744
0.45 1.30355904422631e+40 0.08744
0.45 1.4883191189435e+40 0.08744
0.45 1.69926618178422e+40 0.1009
0.45 1.94011184819373e+40 0.1009
0.45 2.21509379981273e+40 0.1052
0.45 2.52905034652355e+40 0.1052
0.45 2.88750555655553e+40 0.1126
0.45 3.29676645251449e+40 0.1126
0.45 3.76403398350168e+40 0.1126
0.45 4.29752972587713e+40 0.1153
0.45 4.90664054196878e+40 0.1153
0.45 5.60208374199861e+40 0.1296
0.45 6.39609565525095e+40 0.1296
0.45 7.30264692839543e+40 0.1372
0.45 8.33768833913895e+40 0.1372
0.45 9.51943145030131e+40 0.1372
0.45 1.08686690424248e+41 0.1548
0.45 1.24091409629328e+41 0.1548
0.45 1.41679518289555e+41 0.1664
0.45 1.61760479333101e+41 0.1664
0.45 1.84687617447975e+41 0.1881
0.45 2.10864335833047e+41 0.1881
0.45 2.4075121408092e+41 0.2046
0.45 2.74874112079945e+41 0.2046
0.45 3.13833422523646e+41 0.2046
0.45 3.58314634825487e+41 0.2326
0.45 4.09100396311194e+41 0.2326
0.45 4.67084282905416e+41 0.2565
0.45 5.33286521608031e+41 0.2565
0.45 6.08871941397313e+41 0.2952
0.45 6.95170468406135e+41 0.2952
0.45 7.93700525984097e+41 0.2952
0.45 9.06195751369867e+41 0.3328
0.45 1.03463549905376e+42 0.3328
0.45 1.18127966753764e+42 0.3906
0.45 1.34870846226912e+42 0.3906
0.45 1.53986779437934e+42 0.4532
0.45 1.75812111401549e+42 0.4532
0.45 2.00730859027603e+42 0.5316
0.45 2.29181467902013e+42 0.5316
0.45 2.61664526740747e+42 0.5316
0.45 2.98751575252729e+42 0.6235
0.45 3.41095160386101e+42 0.6235
0.45 3.89440317897556e+42 0.6945
0.45 4.44637681263124e+42 0.6945
0.45 5.07658448581727e+42 0.7783
0.45 5.79611470814359e+42 0.7783
0.45 6.61762762026614e+42 0.7783
0.45 7.55557774917379e+42 0.8234
0.45 8.62646833571973e+42 0.8234
0.45 9.84914170929053e+42 0.8734
0.45 1.12451108187593e+43 0.8734
0.45 1.28389377530122e+43 0.9056
0.45 1.4658665911121e+43 0.9056
0.45 1.67363134261978e+43 0.9056
0.45 1.91084365247335e+43 0.94
0.45 2.18167727337263e+43 0.94
0.45 2.49089752528407e+43 0.9672
0.45 2.84394514128792e+43 0.9672
0.45 3.24703199732501e+43 0.9962
0.45 3.70725041020933e+43 0.9962
0.45 4.23269792700523e+43 1.02
0.45 4.83261980144005e+43 1.02
0.45 5.5175716642256e+43 1.02
0.45 6.2996052494744e+43 1.045
0.45 7.19248044506816e+43 1.045
0.45 8.21190739800786e+43 1.066
0.45 9.37582293458945e+43 1.066
0.45 1.0704706159022e+44 1.089
0.45 1.22219387834487e+44 1.089
0.45 1.39542165293784e+44 1.089
0.45 1.59320188391447e+44 1.107
0.45 1.81901451619634e+44 1.107
0.45 2.0768327250551e+44 1.127
0.45 2.37119282416671e+44 1.127
0.45 2.70727408209078e+44 1.143
0.45 3.09098985154704e+44 1.143
0.45 3.5290916149089e+44 1.161
0.45 4.02928777659586e+44 1.161
0.45 4.60037929251778e+44 1.161
0.45 5.25241452297211e+44 1.175
0.45 5.99686603363297e+44 1.175
0.45 6.84683245544589e+44 1.19
0.45 7.81726895515578e+44 1.19
0.45 8.92525037159882e+44 1.202
0.45 1.0190271647643e+45 1.202
0.45 1.16345908438818e+45 1.202
0.45 1.32836207694079e+45 1.215
0.45 1.51663761204147e+45 1.215
0.45 1.73159839940343e+45 1.224
0.45 1.97702667599047e+45 1.224
0.45 2.25724075451014e+45 1.234
0.45 2.57717100416405e+45 1.234
0.45 2.9424466005379e+45 1.234
0.45 3.35949457099589e+45 1.242
0.45 3.83565287828418e+45 1.242
0.45 4.37929953205086e+45 1.252
0.45 5e+45 1.252
0.5 1e+40 0.05031
0.5 1.14173510247619e+40 0.05031
0.5 1.30355904422631e+40 0.0557
0.5 1.4883191189435e+40 0.0557
0.5 1.69926618178422e+40 0.07047
0.5 1.94011184819373e+40 0.07047
0.5 2.21509379981273e+40 0.07521
0.5 2.52905034652355e+40 0.07521
0.5 2.88750555655553e+40 0.07521
0.5 3.29676645251449e+40 0.08921
0.5 3.76403398350168e+40 0.08921
0.5 4.29752972587713e+40 0.09485
0.5 4.90664054196878e+40 0.09485
0.5 5.60208374199861e+40 0.1145
0.5 6.39609565525095e+40 0.1145
0.5 7.30264692839543e+40 0.1256
0.5 8.33768833913895e+40 0.1256
0.5 9.51943145030131e+40 0.1256
0.5 1.08686690424248e+41 0.148
0.5 1.24091409629328e+41 0.148
0.5 1.41679518289555e+41 0.1632
0.5 1.61760479333101e+41 0.1632
0.5 1.84687617447975e+41 0.1878
0.5 2.10864335833047e+41 0.1878
0.5 2.4075121408092e+41 0.1878
0.5 2.74874112079945e+41 0.2051
0.5 3.13833422523646e+41 0.2051
0.5 3.58314634825487e+41 0.2292
0.5 4.09100396311194e+41 0.2292
0.5 4.67084282905416e+41 0.2485
0.5 5.33286521608031e+41 0.2485
0.5 6.08871941397313e+41 0.2485
0.5 6.95170468406135e+41 0.2803
0.5 7.93700525984097e+41 0.2803
0.5 9.06195751369867e+41 0.3086
0.5 1.03463549905376e+42 0.3086
0.5 1.18127966753764e+42 0.3547
0.5 1.34870846226912e+42 0.3547
0.5 1.53986779437934e+42 0.4024
0.5 1.75812111401549e+42 0.4024
0.5 2.00730859027603e+42 0.4024
0.5 2.29181467902013e+42 0.4667
0.5 2.61664526740747e+42 0.4667
0.5 2.98751575252729e+42 0.5412
0.5 3.41095160386101e+42 0.5412
0.5 3.89440317897556e+42 0.6138
0.5 4.44637681263124e+42 0.6138
0.5 5.07658448581727e+42 0.6138
0.5 5.79611470814359e+42 0.6992
0.5 6.61762762026614e+42 0.6992
0.5 7.55557774917379e+42 0.7562
0.5 8.62646833571973e+42 0.7562
0.5 9.84914170929053e+42 0.819
0.5 1.12451108187593e+43 0.819
0.5 1.28389377530122e+43 0.8608
0.5 1.4658665911121e+43 0.8608
0.5 1.67363134261978e+43 0.8608
0.5 1.91084365247335e+43 0.9052
0.5 2.18167727337263e+43 0.9052
0.5 2.49089752528407e+43 0.939
0.5 2.84394514128792e+43 0.939
0.5 3.24703199732501e+43 0.9748
0.5 3.70725041020933e+43 0.9748
0.5 4.23269792700523e+43 0.9748
0.5 4.83261980144005e+43 1.004
0.5 5.5175716642256e+43 1.004
0.5 6.2996052494744e+43 1.035
0.5 7.19248044506816e+43 1.035
0.5 8.21190739800786e+43 1.057
0.5 9.37582293458945e+43 1.057
0.5 1.0704706159022e+44 1.057
0.5 1.22219387834487e+44 1.085
0.5 1.39542165293784e+44 1.085
0.5 1.59320188391447e+44 1.107
0.5 1.81901451619634e+44 1.107
0.5 2.0768327250551e+44 1.131
0.5 2.37119282416671e+44 1.131
0.5 2.70727408209078e+44 1.15
0.5 3.09098985154704e+44 1.15
0.5 3.5290916149089e+44 1.15
0.5 4.02928777659586e+44 1.17
0.5 4.60037929251778e+44 1.17
0.5 5.25241452297211e+44 1.186
0.5 5.99686603363297e+44 1.186
0.5 6.84683245544589e+44 1.204
0.5 7.81726895515578e+44 1.204
0.5 8.92525037159882e+44 1.204
0.5 1.0190271647643e+45 1.218
0.5 1.16345908438818e+45 1.218
0.5 1.32836207694079e+45 1.233
0.5 1.51663761204147e+45 1.233
0.5 1.73159839940343e+45 1.243
0.5 1.97702667599047e+45 1.243
0.5 2.25724075451014e+45 1.254
0.5 2.57717100416405e+45 1.254
0.5 2.9424466005379e+45 1.254
0.5 3.35949457099589e+45 1.265
0.5 3.83565287828418e+45 1.265
0.5 4.37929953205086e+45 1.276
0.5 5e+45 1.276
0.55 1e+40 0.0358
0.55 1.14173510247619e+40 0.0358
0.55 1.30355904422631e+40 0.04014
0.55 1.4883191189435e+40 0.04014
0.55 1.69926618178422e+40 0.05397
0.55 1.94011184819373e+40 0.05397
0.55 2.21509379981273e+40 0.05397
0.55 2.52905034652355e+40 0.05835
0.55 2.88750555655553e+40 0.05835
0.55 3.29676645251449e+40 0.07072
0.55 3.76403398350168e+40 0.07072
0.55 4.29752972587713e+40 0.07557
0.55 4.90664054196878e+40 0.07557
0.55 5.60208374199861e+40 0.09261
0.55 6.39609565525095e+40 0.09261
0.55 7.30264692839543e+40 0.09261
0.55 8.33768833913895e+40 0.1019
0.55 9.51943145030131e+40 0.1019
0.55 1.08686690424248e+41 0.1223
0.55 1.24091409629328e+41 0.1223
0.55 1.41679518289555e+41 0.1359
0.55 1.61760479333101e+41 0.1359
0.55 1.84687617447975e+41 0.1359
0.55 2.10864335833047e+41 0.1587
0.55 2.4075121408092e+41 0.1587
0.55 2.74874112079945e+41 0.1751
0.55 3.13833422523646e+41 0.1751
0.55 3.58314634825487e+41 0.1985
0.55 4.09100396311194e+41 0.1985
0.55 4.67084282905416e+41 0.2174
0.55 5.33286521608031e+41 0.2174
0.55 6.08871941397313e+41 0.2174
0.55 6.95170468406135e+41 0.249
0.55 7.93700525984097e+41 0.249
0.55 9.06195751369867e+41 0.2768
0.55 1.03463549905376e+42 0.2768
0.55 1.18127966753764e+42 0.3227
0.55 1.34870846226912e+42 0.3227
0.55 1.53986779437934e+42 0.3227
0.55 1.75812111401549e+42 0.3691
0.55 2.00730859027603e+42 0.3691
0.55 2.29181467902013e+42 0.4281
0.55 2.61664526740747e+42 0.4281
0.55 2.98751575252729e+42 0.4955
0.55 3.41095160386101e+42 0.4955
0.55 3.89440317897556e+42 0.4955
0.55 4.44637681263124e+42 0.5641
0.55 5.07658448581727e+42 0.5641
0.55 5.79611470814359e+42 0.6444
0.55 6.61762762026614e+42 0.6444
0.55 7.55557774917379e+42 0.7043
0.55 8.62646833571973e+42 0.7043
0.55 9.84914170929053e+42 0.7701
0.55 1.12451108187593e+43 0.7701
0.55 1.28389377530122e+43 0.7701
0.55 1.4658665911121e+43 0.8173
0.55 1.67363134261978e+43 0.8173
0.55 1.91084365247335e+43 0.8673
0.55 2.18167727337263e+43 0.8673
0.55 2.49089752528407e+43 0.9066
0.55 2.84394514128792e+43 0.9066
0.55 3.24703199732501e+43 0.9066
0.55 3.70725041020933e+43 0.9481
0.55 4.23269792700523e+43 0.9481
0.55 4.83261980144005e+43 0.9816
0.55 5.5175716642256e+43 0.9816
0.55 6.2996052494744e+43 1.017
0.55 7.19248044506816e+43 1.017
0.55 8.21190739800786e+43 1.045
0.55 9.37582293458945e+43 1.045
0.55 1.0704706159022e+44 1.045
0.55 1.22219387834487e+44 1.076
0.55 1.39542165293784e+44 1.076
0.55 1.59320188391447e+44 1.102
0.55 1.81901451619634e+44 1.102
0.55 2.0768327250551e+44 1.13
0.55 2.37119282416671e+44 1.13
0.55 2.70727408209078e+44 1.13
0.55 3.09098985154704e+44 1.151
0.55 3.5290916149089e+44 1.151
0.55 4.02928777659586e+44 1.175
0.55 4.60037929251778e+44 1.175
0.55 5.25241452297211e+44 1.193
0.55 5.99686603363297e+44 1.193
0.55 6.84683245544589e+44 1.213
0.55 7.81726895515578e+44 1.213
0.55 8.92525037159882e+44 1.213
0.55 1.0190271647643e+45 1.229
0.55 1.16345908438818e+45 1.229
0.55 1.32836207694079e+45 1.247
0.55 1.51663761204147e+45 1.247
0.55 1.73159839940343e+45 1.258
0.55 1.97702667599047e+45 1.258
0.55 2.25724075451014e+45 1.258
0.55 2.57717100416405e+45 1.271
0.55 2.9424466005379e+45 1.271
0.55 3.35949457099589e+45 1.283
0.55 3.83565287828418e+45 1.283
0.55 4.37929953205086e+45 1.296
0.55 5e+45 1.296
0.6 1e+40 0.02704
0.6 1.14173510247619e+40 0.02704
0.6 1.30355904422631e+40 0.03064
0.6 1.4883191189435e+40 0.03064
0.6 1.69926618178422e+40 0.04407
0.6 1.94011184819373e+40 0.04407
0.6 2.21509379981273e+40 0.04407
0.6 2.52905034652355e+40 0.04831
0.6 2.88750555655553e+40 0.04831
0.6 3.29676645251449e+40 0.06006
0.6 3.76403398350168e+40 0.06006
0.6 4.29752972587713e+40 0.06454
0.6 4.90664054196878e+40 0.06454
0.6 5.60208374199861e+40 0.06454
0.6 6.39609565525095e+40 0.07944
0.6 7.30264692839543e+40 0.07944
0.6 8.33768833913895e+40 0.08731
0.6 9.51943145030131e+40 0.08731
0.6 1.08686690424248e+41 0.1051
0.6 1.24091409629328e+41 0.1051
0.6 1.41679518289555e+41 0.1051
0.6 1.61760479333101e+41 0.1167
0.6 1.84687617447975e+41 0.1167
0.6 2.10864335833047e+41 0.1387
0.6 2.4075121408092e+41 0.1387
0.6 2.74874112079945e+41 0.1542
0.6 3.13833422523646e+41 0.1542
0.6 3.58314634825487e+41 0.1768
0.6 4.09100396311194e+41 0.1768
0.6 4.67084282905416e+41 0.1768
0.6 5.33286521608031e+41 0.195
0.6 6.08871941397313e+41 0.195
0.6 6.95170468406135e+41 0.2221
0.6 7.93700525984097e+41 0.2221
0.6 9.06195751369867e+41 0.2458
0.6 1.03463549905376e+42 0.2458
0.6 1.18127966753764e+42 0.2458
0.6 1.34870846226912e+42 0.2881
0.6 1.53986779437934e+42 0.2881
0.6 1.75812111401549e+42 0.3301
0.6 2.00730859027603e+42 0.3301
0.6 2.29181467902013e+42 0.3905
0.6 2.61664526740747e+42 0.3905
0.6 2.98751575252729e+42 0.4589
0.6 3.41095160386101e+42 0.4589
0.6 3.89440317897556e+42 0.4589
0.6 4.44637681263124e+42 0.5288
0.6 5.07658448581727e+42 0.5288
0.6 5.79611470814359e+42 0.6103
0.6 6.61762762026614e+42 0.6103
0.6 7.55557774917379e+42 0.6719
0.6 8.62646833571973e+42 0.6719
0.6 9.84914170929053e+42 0.6719
0.6 1.12451108187593e+43 0.7393
0.6 1.28389377530122e+43 0.7393
0.6 1.4658665911121e+43 0.7887
0.6 1.67363134261978e+43 0.7887
0.6 1.91084365247335e+43 0.8407
0.6 2.18167727337263e+43 0.8407
0.6 2.49089752528407e+43 0.883
0.6 2.84394514128792e+43 0.883
0.6 3.24703199732501e+43 0.883
0.6 3.70725041020933e+43 0.9276
0.6 4.23269792700523e+43 0.9276
0.6 4.83261980144005e+43 0.9643
0.6 5.5175716642256e+43 0.9643
0.6 6.2996052494744e+43 1.003
0.6 7.19248044506816e+43 1.003
0.6 8.21190739800786e+43 1.003
0.6 9.37582293458945e+43 1.035
0.6 1.0704706159022e+44 1.035
0.6 1.22219387834487e+44 1.07
0.6 1.39542165293784e+44 1.07
0.6 1.59320188391447e+44 1.097
0.6 1.81901451619634e+44 1.097
0.6 2.0768327250551e+44 1.097
0.6 2.37119282416671e+44 1.128
0.6 2.70727408209078e+44 1.128
0.6 3.09098985154704e+44 1.152
0.6 3.5290916149089e+44 1.152
0.6 4.02928777659586e+44 1.179
0.6 4.60037929251778e+44 1.179
0.6 5.25241452297211e+44 1.199
0.6 5.99686603363297e+44 1.199
0.6 6.84683245544589e+44 1.199
0.6 7.81726895515578e+44 1.222
0.6 8.92525037159882e+44 1.222
0.6 1.0190271647643e+45 1.239
0.6 1.16345908438818e+45 1.239
0.6 1.32836207694079e+45 1.259
0.6 1.51663761204147e+45 1.259
0.6 1.73159839940343e+45 1.259
0.6 1.97702667599047e+45 1.272
0.6 2.25724075451014e+45 1.272
0.6 2.57717100416405e+45 1.287
0.6 2.9424466005379e+45 1.287
0.6 3.35949457099589e+45 1.3
0.6 3.83565287828418e+45 1.3
0.6 4.37929953205086e+45 1.315
0.6 5e+45 1.315
0.65 1e+40 0.01274
0.65 1.14173510247619e+40 0.01274
0.65 1.30355904422631e+40 0.01466
0.65 1.4883191189435e+40 0.01466
0.65 1.69926618178422e+40 0.01466
0.65 1.94011184819373e+40 0.02494
0.65 2.21509379981273e+40 0.02494
0.65 2.52905034652355e+40 0.02838
0.65 2.88750555655553e+40 0.02838
0.65 3.29676645251449e+40 0.03919
0.65 3.76403398350168e+40 0.03919
0.65 4.29752972587713e+40 0.03919
0.65 4.90664054196878e+40 0.04339
0.65 5.60208374199861e+40 0.04339
0.65 6.39609565525095e+40 0.05527
0.65 7.30264692839543e+40 0.05527
0.65 8.33768833913895e+40 0.06131
0.65 9.51943145030131e+40 0.06131
0.65 1.08686690424248e+41 0.07597
0.65 1.24091409629328e+41 0.07597
0.65 1.41679518289555e+41 0.07597
0.65 1.61760479333101e+41 0.08519
0.65 1.84687617447975e+41 0.08519
0.65 2.10864335833047e+41 0.1049
0.65 2.4075121408092e+41 0.1049
0.65 2.74874112079945e+41 0.119
0.65 3.13833422523646e+41 0.119
0.65 3.58314634825487e+41 0.119
0.65 4.09100396311194e+41 0.143
0.65 4.67084282905416e+41 0.143
0.65 5.33286521608031e+41 0.1618
0.65 6.08871941397313e+41 0.1618
0.65 6.95170468406135e+41 0.19
0.65 7.93700525984097e+41 0.19
0.65 9.06195751369867e+41 0.2139
0.65 1.03463549905376e+42 0.2139
0.65 1.18127966753764e+42 0.2139
0.65 1.34870846226912e+42 0.2544
0.65 1.53986779437934e+42 0.2544
0.65 1.75812111401549e+42 0.2937
0.65 2.00730859027603e+42 0.2937
0.65 2.29181467902013e+42 0.3539
0.65 2.61664526740747e+42 0.3539
0.65 2.98751575252729e+42 0.3539
0.65 3.41095160386101e+42 0.4213
0.65 3.89440317897556e+42 0.4213
0.65 4.44637681263124e+42 0.4936
0.65 5.07658448581727e+42 0.4936
0.65 5.79611470814359e+42 0.5774
0.65 6.61762762026614e+42 0.5774
0.65 7.55557774917379e+42 0.5774
0.65 8.62646833571973e+42 0.6412
0.65 9.84914170929053e+42 0.6412
0.65 1.12451108187593e+43 0.7106
0.65 1.28389377530122e+43 0.7106
0.65 1.4658665911121e+43 0.7624
0.65 1.67363134261978e+43 0.7624
0.65 1.91084365247335e+43 0.8167
0.65 2.18167727337263e+43 0.8167
0.65 2.49089752528407e+43 0.8167
0.65 2.84394514128792e+43 0.8614
0.65 3.24703199732501e+43 0.8614
0.65 3.70725041020933e+43 0.9082
0.65 4.23269792700523e+43 0.9082
0.65 4.83261980144005e+43 0.9475
0.65 5.5175716642256e+43 0.9475
0.65 6.2996052494744e+43 0.9475
0.65 7.19248044506816e+43 0.9892
0.65 8.21190739800786e+43 0.9892
0.65 9.37582293458945e+43 1.023
0.65 1.0704706159022e+44 1.023
0.65 1.22219387834487e+44 1.061
0.65 1.39542165293784e+44 1.061
0.65 1.59320188391447e+44 1.092
0.65 1.81901451619634e+44 1.092
0.65 2.0768327250551e+44 1.092
0.65 2.37119282416671e+44 1.125
0.65 2.70727408209078e+44 1.125
0.65 3.09098985154704e+44 1.151
0.65 3.5290916149089e+44 1.151
0.65 4.02928777659586e+44 1.181
0.65 4.60037929251778e+44 1.181
0.65 5.25241452297211e+44 1.181
0.65 5.99686603363297e+44 1.203
0.65 6.84683245544589e+44 1.203
0.65 7.81726895515578e+44 1.228
0.65 8.92525037159882e+44 1.228
0.65 1.0190271647643e+45 1.247
0.65 1.16345908438818e+45 1.247
0.65 1.32836207694079e+45 1.247
0.65 1.51663761204147e+45 1.269
0.65 1.73159839940343e+45 1.269
0.65 1.97702667599047e+45 1.283
0.65 2.25724075451014e+45 1.283
0.65 2.57717100416405e+45 1.3
0.65 2.9424466005379e+45 1.3
0.65 3.35949457099589e+45 1.315
0.65 3.83565287828418e+45 1.315
0.65 4.37929953205086e+45 1.315
0.65 5e+45 1.332
0.7 1e+40 0.008154
0.7 1.14173510247619e+40 0.008154
0.7 1.30355904422631e+40 0.008154
0.7 1.4883191189435e+40 0.009456
0.7 1.69926618178422e+40 0.009456
0.7 1.94011184819373e+40 0.01842
0.7 2.21509379981273e+40 0.01842
0.7 2.52905034652355e+40 0.02155
0.7 2.88750555655553e+40 0.02155
0.7 3.29676645251449e+40 0.0344
0.7 3.76403398350168e+40 0.0344
0.7 4.29752972587713e+40 0.0344
0.7 4.90664054196878e+40 0.03989
0.7 5.60208374199861e+40 0.03989
0.7 6.39609565525095e+40 0.05556
0.7 7.30264692839543e+40 0.05556
0.7 8.33768833913895e+40 0.06394
0.7 9.51943145030131e+40 0.06394
0.7 1.08686690424248e+41 0.06394
0.7 1.24091409629328e+41 0.08317
0.7 1.41679518289555e+41 0.08317
0.7 1.61760479333101e+41 0.09542
0.7 1.84687617447975e+41 0.09542
0.7 2.10864335833047e+41 0.1196
0.7 2.4075121408092e+41 0.1196
0.7 2.74874112079945e+41 0.1196
0.7 3.13833422523646e+41 0.1361
0.7 3.58314634825487e+41 0.1361
0.7 4.09100396311194e+41 0.1595
0.7 4.67084282905416e+41 0.1595
0.7 5.33286521608031e+41 0.1764
0.7 6.08871941397313e+41 0.1764
0.7 6.95170468406135e+41 0.1978
0.7 7.93700525984097e+41 0.1978
0.7 9.06195751369867e+41 0.1978
0.7 1.03463549905376e+42 0.2143
0.7 1.18127966753764e+42 0.2143
0.7 1.34870846226912e+42 0.2467
