z Lx kcorr
0.05 4.83261980144005e+43 1.014
0.05 5.5175716642256e+43 1.014
0.05 6.2996052494744e+43 1.02
0.05 7.19248044506816e+43 1.02
0.05 8.21190739800786e+43 1.02
0.05 9.37582293458945e+43 1.022
0.05 1.0704706159022e+44 1.022
0.05 1.22219387834487e+44 1.024
0.05 1.39542165293784e+44 1.024
0.05 1.59320188391447e+44 1.025
0.05 1.81901451619634e+44 1.025
0.05 2.0768327250551e+44 1.025
0.05 2.37119282416671e+44 1.026
0.05 2.70727408209078e+44 1.026
0.05 3.09098985154704e+44 1.027
0.05 3.5290916149089e+44 1.027
0.05 4.02928777659586e+44 1.028
0.05 4.60037929251778e+44 1.028
0.05 5.25241452297211e+44 1.03
0.05 5.99686603363297e+44 1.03
0.05 6.84683245544589e+44 1.03
0.05 7.81726895515578e+44 1.031
0.05 8.92525037159882e+44 1.031
0.05 1.0190271647643e+45 1.032
0.05 1.16345908438818e+45 1.032
0.05 1.32836207694079e+45 1.033
0.05 1.51663761204147e+45 1.033
0.05 1.73159839940343e+45 1.033
0.05 1.97702667599047e+45 1.033
0.05 2.25724075451014e+45 1.033
0.05 2.57717100416405e+45 1.034
0.05 2.9424466005379e+45 1.034
0.05 3.35949457099589e+45 1.035
0.05 3.83565287828418e+45 1.035
0.05 4.37929953205086e+45 1.035
0.05 5e+45 1.035
0.1 1e+40 0.2067
0.1 1.14173510247619e+40 0.2067
0.1 1.30355904422631e+40 0.3031
0.1 1.4883191189435e+40 0.3031
0.1 1.69926618178422e+40 0.3031
0.1 1.94011184819373e+40 0.3643
0.1 2.21509379981273e+40 0.3643
0.1 2.52905034652355e+40 0.4908
0.1 2.88750555655553e+40 0.4908
0.1 3.29676645251449e+40 0.595
0.1 3.76403398350168e+40 0.595
0.1 4.29752972587713e+40 0.595
0.1 4.90664054196878e+40 0.697
0.1 5.60208374199861e+40 0.697
0.1 6.39609565525095e+40 0.7956
0.1 7.30264692839543e+40 0.7956
0.1 8.33768833913895e+40 0.8508
0.1 9.51943145030131e+40 0.8508
0.1 1.08686690424248e+41 0.9027
0.1 1.24091409629328e+41 0.9027
0.1 1.41679518289555e+41 0.9027
0.1 1.61760479333101e+41 0.9256
0.1 1.84687617447975e+41 0.9256
0.1 2.10864335833047e+41 0.9448
0.1 2.4075121408092e+41 0.9448
0.1 2.74874112079945e+41 0.954
