flux coverage
0.1 0
0.2 0
0.3 0
0.4 0
0.5 0
0.6 0
0.7 0
0.8 0
0.9 0
1 0
1.1 0.143773694954797
1.2 0.424321959755031
1.3 0.905511811023622
1.4 1.48935549722951
1.5 2.08457276173812
1.6 2.78040244969379
1.7 3.53980752405949
1.8 4.26713327500729
1.9 5.35170603674541
2 6.75328083989501
2.1 8.29804607757364
2.2 10.1688538932633
2.3 12.419072615923
2.4 15.0084572761738
2.5 18.1560221638962
2.6 21.6173811606882
2.7 25.2650918635171
2.8 28.864683581219
2.9 32.5287255759697
3 36.1227763196267
3.1 39.8331875182269
3.2 42.9638378536017
3.3 45.7314085739283
3.4 48.7812773403325
3.5 52.1175269757947
3.6 55.5736366287547
3.7 58.9632545931758
3.8 62.7378244386119
3.9 66.6130067074949
4 70.7497812773403
4.1 74.6080489938758
4.2 78.3242927967338
4.3 81.5488480606591
4.4 84.4651501895596
4.5 87.1029454651502
4.6 89.0965296004666
4.7 90.8358121901429
4.8 92.1854768153981
4.9 93.3295421405658
5 94.2032662583843
5.1 94.8839311752698
5.2 95.5071449402158
5.3 95.8926800816565
5.4 96.4531933508311
5.5 96.8891805191018
5.6 97.2927967337416
5.7 97.6789151356081
5.8 97.994750656168
5.9 98.2820064158647
5.99999999999999 98.5062700495771
6.09999999999999 98.726742490522
6.19999999999999 98.9142607174103
6.29999999999999 99.1029454651502
6.39999999999999 99.2510936132983
6.49999999999999 99.3948673082531
6.59999999999999 99.5313502478857
6.69999999999999 99.6555847185768
6.79999999999999 99.7419072615923
6.89999999999999 99.7859434237387
6.99999999999999 99.8614756488772
7.09999999999999 99.8918051910178
7.19999999999999 99.9055118110236
7.29999999999999 99.9198016914552
7.39999999999999 99.9346748323126
7.49999999999999 99.9346748323126
7.59999999999999 99.9501312335958
7.69999999999999 99.9661708953047
7.79999999999999 99.9827938174395
7.89999999999999 100
