log10_Lx_erg_s^-1,p_I_given_Lx
41,0.004297994
41.01139601,0.004297994
41.02279202,0.004297994
41.03418803,0.004297994
41.04558405,0.004297994
41.05698006,0.004297994
41.06837607,0.004297994
41.07977208,0.004297994
41.09116809,0.004297994
41.1025641,0.004297994
41.11396011,0.004297994
41.12535613,0.004297994
41.13675214,0.004297994
41.14814815,0.004297994
41.15954416,0.004297994
41.17094017,0.004297994
41.18233618,0.004297994
41.19373219,0.004297994
41.20512821,0.004297994
41.21652422,0.004297994
41.22792023,0.004297994
41.23931624,0.004297994
41.25071225,0.004297994
41.26210826,0.004297994
41.27350427,0.004297994
41.28490028,0.004297994
41.2962963,0.004297994
41.30769231,0.004297994
41.31908832,0.004297994
41.33048433,0.004297994
41.34188034,0.004297994
41.35327635,0.004297994
41.36467236,0.004297994
41.37606838,0.004297994
41.38746439,0.004297994
41.3988604,0.004297994
41.41025641,0.004297994
41.42165242,0.004297994
41.43304843,0.004297994
41.44444444,0.004297994
41.45584046,0.004297994
41.46723647,0.004297994
41.47863248,0.004297994
41.49002849,0.004297994
41.5014245,0.004297994
41.51282051,0.004297994
41.52421652,0.004297994
41.53561254,0.004297994
41.54700855,0.004297994
41.55840456,0.004297994
41.56980057,0.004297994
41.58119658,0.004297994
41.59259259,0.004297994
41.6039886,0.004297994
41.61538462,0.004297994
41.62678063,0.004297994
41.63817664,0.004297994
41.64957265,0.004297994
41.66096866,0.004297994
41.67236467,0.004297994
41.68376068,0.004297994
41.6951567,0.004297994
41.70655271,0.004297994
41.71794872,0.004297994
41.72934473,0.004297994
41.74074074,0.004297994
41.75213675,0.004297994
41.76353276,0.004297994
41.77492877,0.004297994
41.78632479,0.004297994
41.7977208,0.004297994
41.80911681,0.004297994
41.82051282,0.004297994
41.83190883,0.004297994
41.84330484,0.004297994
41.85470085,0.004297994
41.86609687,0.004297994
41.87749288,0.004297994
41.88888889,0.004297994
41.9002849,0.004297994
41.91168091,0.004297994
41.92307692,0.004297994
41.93447293,0.004297994
41.94586895,0.004297994
41.95726496,0.004297994
41.96866097,0.004297994
41.98005698,0.004297994
41.99145299,0.004297994
42.002849,0.004297994
42.01424501,0.004297994
42.02564103,0.004297994
42.03703704,0.004297994
42.04843305,0.004297994
42.05982906,0.004297994
42.07122507,0.004297994
42.08262108,0.004297994
42.09401709,0.004297994
42.10541311,0.004297994
42.11680912,0.004297994
42.12820513,0.004297994
42.13960114,0.004297994
42.15099715,0.004297994
42.16239316,0.004297994
42.17378917,0.004297994
42.18518519,0.004297994
42.1965812,0.004297994
42.20797721,0.004297994
42.21937322,0.004297994
42.23076923,0.004297994
42.24216524,0.004297994
42.25356125,0.004297994
42.26495726,0.004297994
42.27635328,0.004297994
42.28774929,0.004297994
42.2991453,0.004297994
42.31054131,0.004297994
42.32193732,0.004297994
42.33333333,0.004297994
42.34472934,0.004297994
42.35612536,0.004297994
42.36752137,0.005730659
42.37891738,0.005730659
42.39031339,0.005730659
42.4017094,0.005730659
42.41310541,0.005730659
42.42450142,0.005730659
42.43589744,0.005730659
42.44729345,0.005730659
42.45868946,0.005730659
42.47008547,0.005730659
42.48148148,0.005730659
42.49287749,0.005730659
42.5042735,0.005730659
42.51566952,0.007163324
42.52706553,0.007163324
