DETUID,NAME,RA,DEC,EXT_LIKE,DET_LIKE_0,EXP,BEST_Z,BEST_ZERR,CR500,CR500_L,CR500_H,CTS500,CTS500_L,CTS500_H,F300kpc,F300kpc_L,F300kpc_H,F500,F500_L,F500_H,L500,L500_L,L500_H,KT,KT_L,KT_H,MGAS500,MGAS500_L,MGAS500_H,YX500,YX500_L,YX500_H,M500,M500_L,M500_H,FGAS500,FGAS500_L,FGAS500_H,R500,R500_L,R500_H
em01_033138_020_ML00040_003_c010,1eRASS J021616.8-483106,34.07033601194237,-48.518532269659175,14.678474,94.22799,168.8,0.4294,0.0096,0.363,0.307,0.436,61.3,51.9,73.6,26.995,22.515,32.439,34.553,29.139,41.332,216.705,179.8,262.427,-1.0,2.96,-1.0,319.86,248.27,389.92,-0.0,-0.0,-0.0,42.87,37.42,49.37,0.074,0.056,0.093,985.0,941.0,1032.0
em01_033120_020_ML00016_002_c010,1eRASS J021624.3-290117,34.10134586647868,-29.021412418310337,14.188065,71.321,173.5,0.1081,3.0E-4,0.809,0.688,0.951,140.4,119.3,165.0,49.945,41.7,59.315,71.901,61.222,84.733,23.452,20.031,27.549,1.17,1.0,1.96,91.88,79.48,103.46,112.79,86.84,182.74,16.35,14.04,18.3,0.056,0.047,0.068,803.0,763.0,834.0
em01_033108_020_ML00390_002_c010,1eRASS J021633.7-174724,34.14050859279146,-17.790205989063367,3.0053117,8.278887,163.1,0.5722,0.0058,0.069,0.037,0.175,11.2,6.1,28.6,5.55,3.005,15.748,6.505,3.515,16.8,77.175,43.023,194.33,-1.0,6.5,-1.0,36.41,3.24,144.96,-0.0,-0.0,-0.0,19.0,11.05,28.66,0.023,0.007,0.084,710.0,592.0,814.0
em01_033138_020_ML00262_003_c010,1eRASS J021634.8-471020,34.14505257518336,-47.1724890431983,3.1969473,14.88534,165.1,0.394,0.0122,0.085,0.052,0.138,14.0,8.6,22.8,7.257,4.55,11.765,7.942,4.847,12.946,40.959,25.52,67.059,-1.0,1.68,-1.0,39.2,3.44,92.65,-0.0,-0.0,-0.0,12.45,7.88,16.01,0.035,0.013,0.085,661.0,568.0,719.0
em01_035117_020_ML00036_002_c010,1eRASS J021636.1-260947,34.150421041241536,-26.16322213026439,14.358495,96.69121,167.5,0.7913,0.0106,0.295,0.234,0.363,49.4,39.2,60.9,26.507,21.337,32.686,28.221,22.408,34.534,637.764,497.333,816.437,-1.0,5.31,-1.0,225.41,64.68,417.11,-0.0,-0.0,-0.0,57.76,48.03,64.71,0.042,0.017,0.076,942.0,886.0,979.0
em01_035153_020_ML00109_002_c010,1eRASS J021641.6-640904,34.173416765263475,-64.15135644623885,9.649622,24.523785,199.5,0.6301,0.0113,0.148,0.109,0.193,29.6,21.6,38.6,6.415,4.369,9.141,13.963,10.19,18.102,211.641,155.168,283.247,-1.0,3.12,-1.0,345.46,279.25,403.65,-0.0,-0.0,-0.0,32.76,24.87,42.14,0.101,0.076,0.143,832.0,759.0,905.0
em01_033138_020_ML00027_003_c010,1eRASS J021642.9-474914,34.17886786994718,-47.82057840192443,36.842308,96.05683,166.4,0.0632,4.0E-4,2.214,2.021,2.43,368.4,336.2,404.3,121.654,112.595,131.617,207.948,188.85,228.416,21.761,19.847,23.875,3.04,1.84,5.01,102.69,95.42,108.55,320.96,194.53,512.34,15.87,14.82,17.22,0.064,0.058,0.07,807.0,789.0,829.0
em01_035159_020_ML00143_010_c010,1eRASS J021645.1-693212,34.18807035349408,-69.53681505089395,8.07305,22.765919,229.3,0.5622,0.0067,0.185,0.148,0.224,42.4,34.0,51.4,5.865,3.973,7.924,15.73,12.562,19.055,276.996,216.634,340.13,1.26,1.1,1.88,430.91,373.42,490.71,567.75,453.78,796.13,39.67,33.13,47.29,0.108,0.087,0.134,911.0,858.0,966.0
em01_035141_020_ML00186_002_c010,1eRASS J021705.4-501428,34.2727069200434,-50.24132470610254,6.294438,34.086372,285.9,0.5394,0.0068,0.167,0.13,0.209,47.7,37.0,59.8,9.93,8.072,12.995,16.054,12.532,20.184,156.81,121.743,197.463,-1.0,8.32,-1.0,279.31,221.49,329.87,-0.0,-0.0,-0.0,30.37,24.24,39.63,0.09,0.063,0.123,841.0,780.0,919.0
em01_035135_020_ML00193_003_c010,1eRASS J021708.5-452143,34.28582729111344,-45.36210786858065,3.3926995,8.275459,171.1,0.2272,0.0067,0.104,0.064,0.158,17.8,11.0,27.0,8.432,5.283,12.32,9.476,5.771,14.681,14.824,9.272,22.835,-1.0,0.79,-1.0,34.89,6.47,57.53,-0.0,-0.0,-0.0,7.47,5.12,11.7,0.043,0.018,0.084,594.0,523.0,689.0
em01_032144_020_ML00019_002_c010,1eRASS J021714.8-524500,34.311822511589604,-52.750076972977745,22.248428,43.371864,165.7,0.343,4.0E-4,0.601,0.501,0.702,99.6,83.0,116.3,28.347,23.375,34.558,56.756,47.804,66.156,219.252,181.725,259.995,-1.0,3.02,-1.0,485.63,410.1,554.36,-0.0,-0.0,-0.0,51.92,45.42,57.86,0.093,0.075,0.115,1085.0,1038.0,1125.0
em01_034114_020_ML00130_002_c010,1eRASS J021723.0-232124,34.34590186268449,-23.356676689228788,3.1072154,20.847837,165.9,0.2372,0.0087,0.086,0.055,0.146,14.2,9.1,24.2,7.51,4.946,12.749,8.091,5.11,13.659,13.512,8.617,22.827,-1.0,1.07,-1.0,16.12,1.2,40.48,-0.0,-0.0,-0.0,6.41,4.35,10.78,0.026,0.009,0.071,562.0,494.0,668.0
em01_036120_020_ML00284_002_c010,1eRASS J021730.0-292636,34.37527818107453,-29.443527591592105,8.888872,12.604685,176.8,0.1084,7.0E-4,0.087,0.05,0.136,15.4,8.9,24.0,7.297,4.49,10.717,8.031,4.631,12.661,2.594,1.493,4.05,-1.0,1.09,-1.0,8.99,2.58,16.41,-0.0,-0.0,-0.0,2.7,1.97,3.93,0.035,0.014,0.067,441.0,397.0,499.0
em01_034123_020_ML00040_002_c010,1eRASS J021731.3-340205,34.380831311530144,-34.034873388342575,17.309498,44.44274,160.2,0.236,0.0055,0.31,0.256,0.372,49.6,41.1,59.6,21.499,17.734,25.856,29.742,24.435,35.595,47.53,39.184,56.843,-1.0,3.66,-1.0,141.48,108.85,168.6,-0.0,-0.0,-0.0,19.1,17.02,21.92,0.073,0.054,0.091,809.0,778.0,847.0
em01_034123_020_ML00032_002_c010,1eRASS J021731.8-320002,34.382686316349655,-32.00056932107421,14.401208,58.855793,182.0,0.3524,0.0086,0.298,0.248,0.359,54.3,45.1,65.4,21.188,17.297,25.981,28.636,23.721,34.299,113.529,94.152,137.169,-1.0,4.32,-1.0,229.61,175.47,280.76,-0.0,-0.0,-0.0,29.69,24.35,35.54,0.077,0.056,0.104,898.0,840.0,953.0
em01_035159_020_ML00092_010_c010,1eRASS J021732.8-691106,34.38677683625813,-69.18508129983005,8.319759,29.382708,238.0,0.2861,0.0091,0.136,0.088,0.191,32.3,21.0,45.6,8.546,6.105,11.795,12.655,8.099,18.046,44.548,28.322,62.515,-1.0,1.75,-1.0,110.33,50.27,145.63,-0.0,-0.0,-0.0,15.55,11.31,21.31,0.065,0.035,0.107,742.0,667.0,824.0
em01_031156_020_ML00135_013_c010,1eRASS J021738.5-655432,34.41042755749376,-65.90913294381352,5.5181828,24.981005,232.8,1.1064,0.0185,0.084,0.05,0.261,19.6,11.7,60.9,7.296,4.453,23.984,7.701,4.638,24.164,474.227,269.137,1501.594,-1.0,1.74,-1.0,63.74,6.9,224.62,-0.0,-0.0,-0.0,28.27,17.28,41.8,0.028,0.008,0.092,657.0,557.0,748.0
em01_034132_020_ML00280_003_c010,1eRASS J021739.7-430947,34.41542315248947,-43.16322306918644,6.410196,12.72396,158.5,0.5982,0.0069,0.126,0.091,0.165,19.9,14.5,26.2,7.907,5.476,11.176,12.056,8.746,15.862,149.999,109.291,201.569,-1.0,5.61,-1.0,245.19,168.26,300.25,-0.0,-0.0,-0.0,22.72,17.05,28.71,0.107,0.069,0.151,746.0,677.0,806.0
em01_034123_020_ML00075_002_c010,1eRASS J021743.5-325043,34.431621961572894,-32.8453075016382,9.308987,27.942144,169.0,0.2967,4.0E-4,0.265,0.21,0.341,44.8,35.5,57.7,15.782,12.323,20.051,25.343,19.976,32.444,68.744,54.049,87.862,-1.0,5.01,-1.0,194.28,149.18,236.59,-0.0,-0.0,-0.0,22.38,17.54,26.69,0.088,0.063,0.121,834.0,769.0,884.0
em01_033138_020_ML00261_003_c010,1eRASS J021747.1-470505,34.446302619434576,-47.0849802656887,3.6220088,13.818087,168.2,0.6371,0.0118,0.089,0.057,0.136,15.0,9.6,22.8,7.56,4.955,11.45,8.35,5.424,12.726,129.252,83.229,197.451,-1.0,2.08,-1.0,102.19,12.44,174.72,-0.0,-0.0,-0.0,17.32,12.28,25.64,0.057,0.022,0.114,671.0,598.0,764.0
em01_034114_020_ML00089_002_c010,1eRASS J021751.5-251106,34.464904235010465,-25.185135205074154,7.2947826,28.081396,172.9,0.3941,0.0097,0.125,0.088,0.176,21.6,15.3,30.5,10.324,7.251,14.493,11.234,7.867,15.67,67.103,46.891,94.676,1.27,0.96,3.89,74.41,23.67,120.16,106.57,41.97,291.36,16.49,12.05,21.59,0.044,0.018,0.078,726.0,654.0,794.0
em01_035135_020_ML00090_003_c010,1eRASS J021755.1-435349,34.47972623344567,-43.896949767675615,4.799865,32.32472,162.7,0.3146,0.0074,0.194,0.133,0.252,31.5,21.6,40.9,13.395,10.016,17.062,18.392,12.645,24.249,55.557,38.596,73.046,-1.0,4.39,-1.0,132.32,48.22,170.5,-0.0,-0.0,-0.0,18.17,14.0,24.01,0.064,0.031,0.099,773.0,709.0,848.0
em01_034123_020_ML00266_002_c010,1eRASS J021758.7-331125,34.49464375756935,-33.190341319477916,5.9665184,12.506809,161.8,0.5959,0.0108,0.088,0.053,0.131,14.2,8.6,21.3,5.681,3.221,9.302,8.195,4.859,12.206,109.381,66.763,171.139,-1.0,1.9,-1.0,146.44,34.38,208.28,-0.0,-0.0,-0.0,16.95,12.08,25.26,0.075,0.033,0.137,677.0,604.0,773.0
em01_034132_020_ML00058_003_c010,1eRASS J021759.7-423819,34.49904654876714,-42.638679028185415,9.395124,42.325855,151.9,0.6627,0.0153,0.152,0.088,0.767,23.1,13.4,116.5,13.57,8.24,72.893,14.054,8.31,72.956,251.688,141.943,1211.866,-1.0,1.62,-1.0,24.23,3.29,123.82,-0.0,-0.0,-0.0,27.05,15.36,50.22,0.012,0.003,0.055,770.0,638.0,947.0
em01_035141_020_ML00335_002_c010,1eRASS J021810.5-514306,34.54392422909452,-51.71836377610313,3.5097108,8.6655655,189.8,0.4486,0.0202,0.111,0.075,0.146,21.0,14.2,27.7,6.577,4.645,9.287,10.566,7.135,13.997,70.74,48.964,94.632,-1.0,7.39,-1.0,164.01,101.39,206.99,-0.0,-0.0,-0.0,16.97,12.16,24.61,0.092,0.052,0.143,718.0,642.0,812.0
em01_034123_020_ML00117_002_c010,1eRASS J021816.2-314437,34.56767473439165,-31.743785078958723,3.5219765,9.943342,183.0,0.269,0.001,0.157,0.099,0.222,28.8,18.1,40.6,11.037,7.324,15.408,13.098,8.245,18.83,36.107,22.026,50.125,0.63,0.34,1.53,70.36,19.29,111.59,46.05,16.51,117.11,13.97,9.8,21.26,0.049,0.021,0.089,720.0,640.0,828.0
em01_032162_020_ML00120_010_c010,1eRASS J021816.7-710137,34.56993594908893,-71.02718923123255,4.4944963,28.473282,233.6,0.6302,0.0125,0.112,0.072,0.236,26.1,16.8,55.1,10.081,6.571,21.982,10.52,6.825,22.33,171.435,110.101,372.887,-1.0,4.65,-1.0,39.17,3.25,139.91,-0.0,-0.0,-0.0,24.62,16.53,38.37,0.019,0.006,0.056,756.0,662.0,877.0
em01_037165_020_ML00085_015_c010,1eRASS J021818.1-735622,34.5755870945859,-73.93956989657015,11.313578,29.76529,250.3,0.5538,0.0084,0.136,0.107,0.171,34.0,26.9,42.8,10.197,7.712,12.673,12.783,10.024,15.824,208.111,160.634,283.628,-1.0,1.88,-1.0,259.73,151.45,358.7,-0.0,-0.0,-0.0,31.26,25.47,39.08,0.082,0.05,0.122,844.0,788.0,909.0
em01_034132_020_ML00041_003_c010,1eRASS J021819.1-431555,34.57998318321048,-43.26541600740358,14.788188,46.621674,157.1,0.6197,0.0091,0.303,0.244,0.369,47.7,38.3,57.9,16.807,12.751,21.165,28.074,22.765,34.203,407.261,318.016,512.087,-1.0,1.37,-1.0,541.91,450.12,643.47,-0.0,-0.0,-0.0,49.4,43.72,58.23,0.108,0.085,0.134,958.0,919.0,1012.0
em01_034123_020_ML00002_002_c010,1eRASS J021820.0-314222,34.583460781547906,-31.706325865041485,60.627174,168.73145,181.7,0.2764,0.0217,1.302,1.188,1.409,236.5,215.9,256.0,66.409,59.69,73.674,124.822,114.224,135.449,284.194,258.925,309.185,-1.0,6.29,-1.0,632.7,575.17,690.75,-0.0,-0.0,-0.0,65.36,59.73,70.73,0.096,0.085,0.109,1201.0,1166.0,1233.0
em01_035135_020_ML00226_003_c010,1eRASS J021820.6-443205,34.586093869174285,-44.53483199713281,3.7464867,10.037652,163.5,0.62,0.0114,0.072,0.043,0.171,11.7,7.0,27.9,6.121,3.641,14.286,6.334,3.726,14.999,115.833,64.679,271.856,0.94,0.44,2.67,36.86,3.08,106.6,39.45,9.93,135.16,16.38,10.85,26.68,0.022,0.007,0.06,663.0,578.0,780.0
em01_034123_020_ML00368_002_c010,1eRASS J021828.9-324006,34.620584050050894,-32.66847715535353,3.5803404,7.0234175,177.3,0.2736,4.0E-4,0.029,0.0,0.074,5.1,0.0,13.2,-1.0,-1.0,6.568,-1.0,-1.0,7.082,-1.0,-1.0,16.266,-1.0,-1.0,-1.0,-1.0,-1.0,28.39,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
em01_034147_020_ML00123_002_c010,1eRASS J021829.6-582646,34.62355483678535,-58.44630508729051,7.7650366,27.540602,173.6,0.5659,0.006,0.124,0.077,0.208,21.6,13.4,36.2,9.676,6.457,17.657,11.61,7.248,19.248,143.133,87.965,258.724,-1.0,1.94,-1.0,98.05,4.49,217.11,-0.0,-0.0,-0.0,22.52,15.01,33.63,0.045,0.014,0.106,753.0,658.0,861.0
em01_033111_020_ML00079_002_c010,1eRASS J021836.9-203631,34.65384155861729,-20.608695343311997,11.578798,26.28018,168.7,0.3831,0.0111,0.127,0.092,0.169,21.5,15.5,28.5,10.292,7.3,14.133,12.191,8.837,16.094,54.682,39.926,74.24,-1.0,4.21,-1.0,102.74,60.27,145.05,-0.0,-0.0,-0.0,16.25,12.38,20.17,0.063,0.036,0.098,726.0,663.0,780.0
em01_034123_020_ML00056_002_c010,1eRASS J021855.5-325059,34.7312813912534,-32.849802064247015,14.230146,53.335052,175.1,0.4334,4.0E-4,0.244,0.198,0.301,42.7,34.7,52.7,18.168,14.532,22.282,23.501,19.043,29.048,140.643,113.945,175.193,-1.0,8.97,-1.0,248.04,128.06,321.56,-0.0,-0.0,-0.0,32.28,27.55,37.28,0.076,0.043,0.104,895.0,849.0,938.0
em01_036129_020_ML00152_002_c010,1eRASS J021902.2-385114,34.75932862872947,-38.854129826713134,3.7282338,27.716925,162.7,0.8062,0.0454,0.145,0.105,0.191,23.6,17.1,31.1,10.454,7.575,14.312,12.526,9.098,16.729,457.604,325.476,615.587,1.14,0.81,1.83,265.25,78.77,393.0,291.94,136.4,522.38,31.05,24.73,42.94,0.079,0.038,0.13,762.0,706.0,849.0
em01_033111_020_ML00076_002_c010,1eRASS J021907.7-215158,34.78232796456874,-21.866215541867916,8.366906,18.521343,169.6,0.2584,0.0064,0.313,0.25,0.374,53.1,42.5,63.4,13.692,10.734,17.014,29.564,23.49,35.352,62.793,50.68,75.83,-1.0,1.89,-1.0,208.18,176.75,234.83,-0.0,-0.0,-0.0,22.03,18.43,26.17,0.093,0.075,0.118,842.0,793.0,891.0
em01_035159_020_ML00303_010_c010,1eRASS J021910.3-682425,34.792939419782094,-68.40705708916218,4.4428625,11.819239,244.7,0.6539,0.0217,0.04,0.018,0.327,9.7,4.4,79.9,-1.0,-1.0,28.477,-1.0,-1.0,28.477,-1.0,-1.0,594.942,-1.0,-1.0,-1.0,-1.0,-1.0,74.88,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
em01_036108_020_ML00194_002_c010,1eRASS J021913.9-164959,34.8082316360933,-16.833246554201498,4.3301888,8.721519,155.3,0.1372,0.0046,0.31,0.145,0.436,48.2,22.6,67.7,-1.0,-1.0,13.016,-1.0,-1.0,40.649,-1.0,-1.0,23.006,-1.0,-1.0,-1.0,-1.0,-1.0,72.09,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
em01_033111_020_ML00148_002_c010,1eRASS J021914.6-210803,34.811204640351505,-21.134350711299245,5.052519,17.995438,169.0,0.6232,0.0109,0.122,0.073,0.244,20.6,12.3,41.3,9.223,5.747,20.055,11.428,6.796,22.49,169.307,98.907,364.239,-1.0,2.04,-1.0,113.71,6.83,245.14,-0.0,-0.0,-0.0,24.87,14.4,36.83,0.047,0.017,0.116,761.0,634.0,867.0
em01_035141_020_ML00012_002_c010,1eRASS J021915.4-493451,34.81455174505743,-49.58091379616416,28.321201,232.91493,173.6,0.535,0.0073,0.575,0.506,0.656,99.8,87.8,113.9,43.48,37.949,49.996,54.303,48.062,61.946,553.593,476.937,640.889,5.07,3.15,10.99,576.18,400.89,688.96,2830.37,1462.8,5814.39,75.79,67.99,84.92,0.072,0.051,0.093,1142.0,1102.0,1186.0
em01_034174_020_ML00198_002_c010,1eRASS J021922.4-841221,34.84370637051316,-84.20609519884621,8.419363,13.95048,215.8,0.832,0.07,0.07,0.041,0.104,15.1,8.8,22.4,3.993,2.242,6.646,6.388,3.69,9.431,224.912,132.67,371.21,-1.0,2.19,-1.0,231.82,80.91,308.42,-0.0,-0.0,-0.0,20.41,13.18,32.35,0.101,0.044,0.182,656.0,567.0,764.0
em01_033111_020_ML00040_002_c010,1eRASS J021925.5-212347,34.85640498656073,-21.39663204768924,8.847635,71.114044,171.6,0.2102,0.0067,0.235,0.183,0.304,40.4,31.5,52.2,20.4,15.953,25.431,21.915,16.908,28.269,29.104,22.601,37.946,-1.0,1.35,-1.0,39.0,13.07,72.66,-0.0,-0.0,-0.0,12.63,10.06,15.87,0.032,0.014,0.06,711.0,659.0,768.0
em01_034132_020_ML00059_003_c010,1eRASS J021933.8-403037,34.89086090746208,-40.51041425672021,20.751804,45.708923,169.0,0.2224,0.0056,0.28,0.228,0.34,47.2,38.5,57.5,19.761,16.001,23.225,26.557,21.493,32.185,37.976,30.847,46.366,-1.0,2.22,-1.0,117.16,88.76,139.06,-0.0,-0.0,-0.0,16.2,14.05,19.39,0.07,0.051,0.091,770.0,734.0,817.0
em01_035105_020_ML00105_002_c010,1eRASS J021945.1-141844,34.93826294860228,-14.312348620059995,4.0225897,20.195965,161.2,0.544,0.0103,0.106,0.066,0.283,17.1,10.7,45.7,8.872,5.628,24.0,9.15,5.811,24.0,121.749,75.279,325.585,1.05,0.75,2.39,23.6,3.1,83.76,33.96,8.4,120.52,18.85,11.56,32.93,0.014,0.004,0.046,716.0,608.0,862.0
eb01_035102_020_ML00021_002_c010,1eRASS J021945.5-125136,34.93963751410153,-12.860210211095769,29.940548,76.693634,164.6,0.2668,0.006,0.562,0.483,0.65,92.5,79.5,107.0,25.978,21.982,30.765,53.228,46.006,61.157,119.871,102.634,140.762,-1.0,2.34,-1.0,343.86,310.32,379.66,-0.0,-0.0,-0.0,37.71,32.87,41.95,0.092,0.079,0.107,1004.0,959.0,1040.0
em01_036108_020_ML00023_002_c010,1eRASS J021951.9-190614,34.966552434711005,-19.104160988341583,18.799807,45.13641,164.8,0.1735,0.0045,0.854,0.744,0.964,140.8,122.6,158.9,30.064,25.727,34.497,79.048,68.806,89.029,71.647,62.017,81.489,1.93,1.66,5.15,247.23,227.58,266.36,504.11,405.05,1243.89,31.78,28.81,34.85,0.078,0.069,0.088,980.0,949.0,1011.0
em01_032162_020_ML00073_010_c010,1eRASS J022000.6-712554,35.00288777931844,-71.43177306301234,5.204164,35.033146,228.9,0.5713,0.0058,0.102,0.067,0.191,23.4,15.4,43.8,8.766,5.877,16.283,9.828,6.379,18.141,126.802,82.957,232.089,-1.0,5.7,-1.0,85.26,5.39,192.22,-0.0,-0.0,-0.0,21.42,14.89,32.45,0.042,0.013,0.096,739.0,655.0,849.0
em01_035135_020_ML00069_003_c010,1eRASS J022005.5-441249,35.023272413781996,-44.21367369462362,7.7985497,19.297089,164.4,0.2911,0.0067,0.165,0.123,0.215,27.1,20.2,35.4,12.18,9.235,16.106,15.644,11.648,20.362,40.597,29.909,53.428,-1.0,2.61,-1.0,104.69,66.71,136.75,-0.0,-0.0,-0.0,14.23,11.87,17.15,0.072,0.047,0.1,719.0,677.0,765.0
em01_035135_020_ML00563_003_c010,1eRASS J022007.6-450452,35.031966657306455,-45.08137414131515,3.034201,5.2406106,166.5,0.1626,4.0E-4,0.141,0.102,0.188,23.5,17.0,31.3,11.49,8.348,15.524,12.811,9.189,17.11,9.841,7.07,13.119,1.26,0.79,8.41,30.67,20.23,42.34,49.83,19.22,251.28,6.17,4.88,7.63,0.049,0.029,0.073,570.0,527.0,612.0
em01_035117_020_ML00095_002_c010,1eRASS J022008.5-255411,35.03582158185332,-25.9032476026058,9.70068,31.481838,173.2,0.1037,3.0E-4,0.401,0.284,0.59,69.5,49.2,102.2,24.216,19.395,29.832,37.212,26.146,55.379,10.747,7.558,15.869,-1.0,1.09,-1.0,42.65,30.94,51.47,-0.0,-0.0,-0.0,8.13,6.55,10.95,0.05,0.033,0.07,637.0,593.0,704.0
em01_035159_020_ML00754_010_c010,1eRASS J022011.0-680902,35.0460026823202,-68.15065282332604,5.5642786,11.86419,245.4,0.249,0.008,0.132,0.081,0.19,32.5,19.9,46.6,5.562,3.56,8.151,11.222,6.913,15.755,26.754,16.484,38.865,-1.0,0.36,-1.0,81.33,54.46,101.43,-0.0,-0.0,-0.0,11.76,8.6,17.34,0.064,0.039,0.101,685.0,617.0,780.0
em01_036108_020_ML00079_002_c010,1eRASS J022011.0-172338,35.04620489051945,-17.393900614235015,3.6748884,27.853504,156.1,0.2807,0.0072,0.219,0.163,0.283,34.2,25.4,44.2,12.965,9.784,16.442,20.061,14.728,26.209,54.699,41.421,70.691,1.92,1.24,21.43,148.05,100.43,179.42,321.25,152.87,2970.96,18.68,14.74,22.84,0.076,0.051,0.103,790.0,730.0,845.0
eb01_035102_020_ML00599_002_c010,1eRASS J022015.5-125334,35.064652591973726,-12.893024434619695,5.06632,5.916113,165.2,0.275,0.0072,0.028,0.001,0.113,4.7,0.2,18.7,-1.0,-1.0,16.073,-1.0,-1.0,16.073,-1.0,-1.0,130.473,-1.0,-1.0,-1.0,-1.0,-1.0,41.31,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
em01_035153_020_ML00160_002_c010,1eRASS J022019.2-622104,35.080180045628246,-62.35116040187139,12.479882,13.615718,194.2,0.091,0.0085,0.276,0.199,0.344,53.7,38.7,66.9,16.387,12.568,20.867,24.006,17.399,30.076,6.087,4.361,7.498,1.24,0.82,2.15,31.35,25.68,37.03,40.17,24.48,70.1,5.47,4.36,6.91,0.057,0.042,0.077,561.0,520.0,606.0
em01_035159_020_ML00046_010_c010,1eRASS J022027.3-693029,35.11385814721433,-69.50824892059852,28.99369,47.96877,234.9,0.2748,0.0065,0.268,0.225,0.316,62.9,52.7,74.3,17.788,15.032,21.238,24.818,20.711,29.077,85.055,70.032,102.814,-1.0,1.7,-1.0,194.6,146.89,234.0,-0.0,-0.0,-0.0,23.83,20.42,27.56,0.081,0.06,0.105,859.0,816.0,901.0
em01_034132_020_ML00517_003_c010,1eRASS J022031.7-412138,35.13243744253591,-41.360579927180254,4.1257167,5.4550014,172.4,0.546,0.0072,0.06,0.026,0.093,10.3,4.6,16.1,-1.0,-1.0,5.617,-1.0,-1.0,8.853,-1.0,-1.0,92.65,-1.0,-1.0,-1.0,-1.0,-1.0,158.32,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
em01_037111_020_ML00138_002_c010,1eRASS J022033.8-201317,35.14087391903305,-20.22147233692121,3.0109286,23.17691,166.5,0.4257,0.0119,0.109,0.063,0.672,18.1,10.5,111.8,8.532,5.05,56.162,9.282,5.298,56.165,68.829,39.656,433.61,-1.0,0.72,-1.0,14.29,1.9,82.43,-0.0,-0.0,-0.0,18.6,10.34,38.49,0.01,0.002,0.046,747.0,614.0,951.0
em01_036129_020_ML00388_002_c010,1eRASS J022035.3-394741,35.14746089680277,-39.7949902852386,4.7167616,14.910637,166.4,0.2126,0.0052,0.067,0.032,0.213,11.2,5.4,35.4,-1.0,-1.0,17.904,-1.0,-1.0,19.847,-1.0,-1.0,26.645,-1.0,-1.0,-1.0,-1.0,-1.0,32.09,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
em01_037138_020_ML00071_003_c010,1eRASS J022037.5-470008,35.15646472523824,-47.002435917831484,15.162254,38.286774,176.1,0.227,0.0055,0.294,0.236,0.35,51.8,41.5,61.7,21.604,17.594,25.898,27.801,22.23,33.025,42.171,33.549,50.421,-1.0,1.57,-1.0,114.41,84.33,143.8,-0.0,-0.0,-0.0,17.54,14.69,21.56,0.064,0.045,0.088,789.0,744.0,845.0
em01_034114_020_ML00024_002_c010,1eRASS J022046.5-230917,35.19385769263582,-23.154977089238614,15.131826,87.5795,171.6,0.1698,0.0046,0.542,0.455,0.66,93.1,78.1,113.2,32.19,27.515,38.268,49.968,42.102,60.947,41.505,34.525,50.577,2.19,1.39,3.7,126.0,108.92,142.96,280.28,169.26,468.38,20.65,17.55,24.21,0.06,0.05,0.075,850.0,805.0,896.0
em01_034174_020_ML00154_002_c010,1eRASS J022050.5-831934,35.210509876686615,-83.32621244083302,4.945817,11.557338,218.9,0.706,0.0169,0.051,0.026,0.085,11.1,5.8,18.5,3.782,2.078,6.353,4.762,2.444,7.954,102.544,55.976,172.317,-1.0,6.11,-1.0,107.38,9.18,186.27,-0.0,-0.0,-0.0,13.53,9.47,22.1,0.079,0.026,0.155,601.0,533.0,708.0
em01_035159_020_ML00422_010_c010,1eRASS J022052.3-680656,35.21807944390448,-68.11573666793709,3.5390801,9.801844,245.6,0.2404,0.0104,0.056,0.025,0.101,13.8,6.2,24.8,-1.0,-1.0,7.229,-1.0,-1.0,8.44,-1.0,-1.0,36.601,-1.0,-1.0,-1.0,-1.0,-1.0,69.11,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
em01_036129_020_ML00207_002_c010,1eRASS J022055.8-385441,35.232672907881216,-38.911491766196654,4.3062234,13.11535,164.5,0.726,0.0157,0.084,0.048,0.132,13.8,7.9,21.7,4.694,2.616,8.612,7.491,4.365,12.187,249.464,140.353,458.356,0.69,0.31,1.11,224.33,69.2,326.04,130.35,42.98,270.51,20.5,14.07,30.99,0.096,0.044,0.19,685.0,604.0,786.0
em01_034132_020_ML00333_003_c010,1eRASS J022056.5-410220,35.23564890623147,-41.03893348917895,3.49709,8.174227,169.8,0.2344,0.0075,0.055,0.028,0.102,9.3,4.8,17.3,4.873,2.625,8.792,5.122,2.684,9.623,8.428,4.279,15.765,-1.0,2.06,-1.0,11.48,0.66,29.22,-0.0,-0.0,-0.0,4.93,3.15,8.17,0.023,0.007,0.064,515.0,444.0,610.0
